County,EV Count
Kitsap,5270
King,86761
Snohomish,21117
Thurston,5824
Yakima,912
Skagit,1790
Chelan,1012
Stevens,165
Kittitas,624
Island,1682
Whitman,274
Spokane,3962
Grant,526
Clark,9350
Cowlitz,796
Jefferson,826
Clallam,875
Klickitat,259
Pierce,12907
Whatcom,3805
Lewis,550
Pacific,139
Franklin,547
Skamania,161
Mason,706
Benton,1860
Walla Walla,365
San Juan,821
Grays Harbor,516
Okanogan,225
Adams,46
Douglas,338
Macomb,4
Asotin,61
Pend Oreille,48
Wahkiakum,45
San Diego,23
Leavenworth,1
Stafford,2
Sonoma,1
Columbia,18
Lincoln,31
Orange,6
District of Columbia,3
Lee,1
Ferry,28
Goochland,1
York,1
Doña Ana,1
Lake,5
Kings,4
Platte,1
Collin,1
Pettis,1
Cumberland,4
Hamilton,2
Los Angeles,9
Howard,1
Rockingham,1
Solano,4
,2
Tippecanoe,1
Montgomery,8
Suffolk,2
Charles,2
Hillsborough,2
Wake,5
Santa Clara,8
Albemarle,2
Loudoun,2
Anne Arundel,8
Prince George,1
El Paso,11
Honolulu,3
Kent,2
Ventura,2
Marion,3
Washoe,2
New London,2
San Mateo,3
Fairfax,13
Middlesex,4
Harford,2
James City,1
Pulaski,5
Maui,1
Spotsylvania,1
Kootenai,1
St. Mary's,4
New York,1
Nassau,1
Hennepin,1
Beaufort,1
San Francisco,1
Miami-Dade,1
DeKalb,2
Arlington,1
Sarasota,1
Riverside,3
Ada,2
Maricopa,5
Contra Costa,2
Kern,1
Richmond,1
Autauga,2
Shelby,2
Yolo,3
Currituck,1
El Dorado,1
St. Louis,1
New Castle,1
Hoke,1
Hardin,2
Arapahoe,2
Bay,1
Nueces,2
Garfield,1
Hudson,1
Duval,1
Gwinnett,1
Travis,1
Rockdale,1
Saratoga,1
Monterey,1
Prince William,2
Cook,1
Pinal,1
Berkeley,1
Alameda,4
Virginia Beach,4
Madison,2
Denton,1
St. Lawrence,1
Alexandria,3
Houston,1
Atlantic,1
Sacramento,2
Cuyahoga,1
Chesapeake,2
Fredericksburg,1
DuPage,2
Bexar,2
Tarrant,3
Meade,1
Prince George's,3
Anchorage,1
Chesterfield,1
Wichita,1
Palm Beach,1
Muscogee,2
St. Charles,1
Brevard,1
Harris,2
Calvert,1
Salt Lake,2
Polk,1
Williamson,1
Laramie,1
Bell,2
Tooele,1
Yuba,1
Marin,2
Moore,1
Placer,3
Harnett,3
Essex,1
Plaquemines,1
Larimer,1
Allen,1
Newport News,1
Multnomah,1
San Bernardino,2
Brown,1
Caddo,2
Santa Barbara,1
Pima,1
